ticker,name,asset_class,sector
MMM,3M,Stock,Industrials
AOS,A. O. Smith,Stock,Industrials
ABT,Abbott Laboratories,Stock,Health Care
ABBV,AbbVie,Stock,Health Care
ACN,Accenture,Stock,Information Technology
ADBE,Adobe Inc.,Stock,Information Technology
AMD,Advanced Micro Devices,Stock,Information Technology
AES,AES Corporation,Stock,Utilities
AFL,Aflac,Stock,Financials
A,Agilent Technologies,Stock,Health Care
APD,Air Products,Stock,Materials
ABNB,Airbnb,Stock,Consumer Discretionary
AKAM,Akamai Technologies,Stock,Information Technology
ALB,Albemarle Corporation,Stock,Materials
ARE,Alexandria Real Estate Equities,Stock,Real Estate
ALGN,Align Technology,Stock,Health Care
ALLE,Allegion,Stock,Industrials
LNT,Alliant Energy,Stock,Utilities
ALL,Allstate,Stock,Financials
GOOGL,Alphabet Inc. (Class A),Stock,Communication Services
GOOG,Alphabet Inc. (Class C),Stock,Communication Services
MO,Altria,Stock,Consumer Staples
AMZN,Amazon,Stock,Consumer Discretionary
AMCR,Amcor,Stock,Materials
AEE,Ameren,Stock,Utilities
AEP,American Electric Power,Stock,Utilities
AXP,American Express,Stock,Financials
AIG,American International Group,Stock,Financials
AMT,American Tower,Stock,Real Estate
AWK,American Water Works,Stock,Utilities
AMP,Ameriprise Financial,Stock,Financials
AME,Ametek,Stock,Industrials
AMGN,Amgen,Stock,Health Care
APH,Amphenol,Stock,Information Technology
ADI,Analog Devices,Stock,Information Technology
AON,Aon plc,Stock,Financials
APA,APA Corporation,Stock,Energy
APO,Apollo Global Management,Stock,Financials
AAPL,Apple Inc.,Stock,Information Technology
AMAT,Applied Materials,Stock,Information Technology
APP,AppLovin,Stock,Information Technology
APTV,Aptiv,Stock,Consumer Discretionary
ACGL,Arch Capital Group,Stock,Financials
ADM,Archer Daniels Midland,Stock,Consumer Staples
ARES,Ares Management,Stock,Financials
ANET,Arista Networks,Stock,Information Technology
AJG,Arthur J. Gallagher & Co.,Stock,Financials
AIZ,Assurant,Stock,Financials
T,AT&T,Stock,Communication Services
ATO,Atmos Energy,Stock,Utilities
ADSK,Autodesk,Stock,Information Technology
ADP,Automatic Data Processing,Stock,Industrials
AZO,AutoZone,Stock,Consumer Discretionary
AVB,AvalonBay Communities,Stock,Real Estate
AVY,Avery Dennison,Stock,Materials
AXON,Axon Enterprise,Stock,Industrials
BKR,Baker Hughes,Stock,Energy
BALL,Ball Corporation,Stock,Materials
BAC,Bank of America,Stock,Financials
BAX,Baxter International,Stock,Health Care
BDX,Becton Dickinson,Stock,Health Care
BRK-B,Berkshire Hathaway,Stock,Financials
BBY,Best Buy,Stock,Consumer Discretionary
TECH,Bio-Techne,Stock,Health Care
BIIB,Biogen,Stock,Health Care
BLK,BlackRock,Stock,Financials
BX,Blackstone Inc.,Stock,Financials
XYZ,"Block, Inc.",Stock,Financials
BNY,BNY Mellon,Stock,Financials
BA,Boeing,Stock,Industrials
BKNG,Booking Holdings,Stock,Consumer Discretionary
BSX,Boston Scientific,Stock,Health Care
BMY,Bristol Myers Squibb,Stock,Health Care
AVGO,Broadcom,Stock,Information Technology
BR,Broadridge Financial Solutions,Stock,Industrials
BRO,Brown & Brown,Stock,Financials
BF-B,Brown–Forman,Stock,Consumer Staples
BLDR,Builders FirstSource,Stock,Industrials
BG,Bunge Global,Stock,Consumer Staples
BXP,"BXP, Inc.",Stock,Real Estate
CHRW,C.H. Robinson,Stock,Industrials
CDNS,Cadence Design Systems,Stock,Information Technology
CPT,Camden Property Trust,Stock,Real Estate
CPB,Campbell's Company (The),Stock,Consumer Staples
COF,Capital One,Stock,Financials
CAH,Cardinal Health,Stock,Health Care
CCL,Carnival Corporation,Stock,Consumer Discretionary
CARR,Carrier Global,Stock,Industrials
CVNA,Carvana,Stock,Consumer Discretionary
CASY,Casey's,Stock,Consumer Staples
CAT,Caterpillar Inc.,Stock,Industrials
CBOE,Cboe Global Markets,Stock,Financials
CBRE,CBRE Group,Stock,Real Estate
CDW,CDW Corporation,Stock,Information Technology
COR,Cencora,Stock,Health Care
